Order_ID,Date,Region,Category,Payment_Method,Units_Sold,Unit_Price,Discount_Pct,Customer_Age,Rating,Revenue
ORD-1034,2023-02-04,South,Electronics,Credit Card,38.0,195.62,21.5,68.0,4.3,5835.34
ORD-1035,2023-02-05,North,Furniture,Credit Card,34.0,233.93,17.7,68.0,4.5,6545.83
ORD-1036,2023-02-06,West,Groceries,UPI,18.0,305.94,8.3,29.0,1.9,5049.85
ORD-1037,2023-02-07,North,Electronics,Net Banking,30.0,256.12,27.3,20.0,1.8,5585.98
ORD-1038,2023-02-08,North,Electronics,Credit Card,15.0,274.53,1.4,62.0,3.4,4060.3
ORD-1039,2023-02-09,East,Clothing,UPI,27.0,248.32,3.3,35.0,2.6,6483.39
ORD-1040,2023-02-10,East,Clothing,Net Banking,34.0,210.39,11.7,57.0,4.4,6316.33
ORD-1041,2023-02-11,East,Furniture,Cash,38.0,388.22,3.7,38.0,4.6,14206.52
ORD-1042,2023-02-12,South,Groceries,UPI,33.0,15.98,28.7,32.0,2.4,375.99
ORD-1043,2023-02-13,West,Clothing,Net Banking,24.0,303.24,23.9,50.0,,5538.38
ORD-1044,2023-02-14,West,Electronics,Net Banking,15.0,287.1,7.8,52.0,4.1,3970.59
ORD-1045,2023-02-15,West,Groceries,UPI,30.0,360.93,17.7,43.0,2.1,8911.36
ORD-1046,2023-02-16,West,Groceries,Cash,42.0,303.52,29.5,25.0,4.3,8987.23
ORD-1047,2023-02-17,East,Electronics,UPI,17.0,415.13,26.5,53.0,2.7,5187.05
ORD-1048,2023-02-18,,Clothing,Net Banking,,479.95,18.0,65.0,3.7,1967.8
ORD-1049,2023-02-19,South,Electronics,Credit Card,29.0,177.84,27.1,,1.4,3759.72
ORD-1050,not-a-date,East,Groceries,Credit Card,4.0,121.4,29.7,40.0,3.5,341.38
ORD-1051,2023-02-21,South,Sports,UPI,10.0,217.56,22.3,59.0,2.8,1690.44
ORD-1052,2023-02-22,East,Sports,Net Banking,17.0,151.09,1.9,61.0,3.3,2519.73
ORD-1053,2023-02-23,West,Furniture,Credit Card,10.0,311.33,12.0,31.0,1.7,2739.7
ORD-1054,2023-02-24,East,Electronics,Net Banking,17.0,456.81,25.1,31.0,3.9,5816.56
ORD-1055,2023-02-25,West,Electronics,UPI,20.0,78.17,6.9,19.0,4.5,1455.53
ORD-1056,2023-02-26,West,Furniture,Credit Card,24.0,59.39,24.9,54.0,1.9,1070.45
ORD-1057,2023-02-27,North,Furniture,Net Banking,5.0,135.45,3.6,22.0,1.4,652.87
ORD-1058,2023-02-28,East,Furniture,Credit Card,34.0,365.79,1.4,55.0,,12262.74
ORD-1059,2023-03-01,North,Groceries,UPI,6.0,300.55,11.5,62.0,3.6,1595.92
ORD-1060,2023-03-02,East,Electronics,Net Banking,2.0,60.08,1.1,58.0,3.4,118.84
ORD-1061,2023-03-03,East,Groceries,Credit Card,13.0,460.19,28.7,64.0,3.2,4265.5
ORD-1062,2023-03-04,North,Furniture,UPI,43.0,397.14,24.8,31.0,,12841.92
ORD-1063,2023-03-05,North,Electronics,Credit Card,43.0,21.28,24.0,56.0,2.6,695.43
ORD-1064,2023-03-06,East,Groceries,Credit Card,48.0,,18.9,42.0,3.4,12813.93
ORD-1065,2023-03-07,South,Groceries,Cash,11.0,387.91,6.5,37.0,3.0,3989.65
ORD-1066,2023-03-08,West,Furniture,Cash,47.0,193.47,15.5,19.0,5.0,7683.66
ORD-1067,2023-03-09,North,Electronics,UPI,23.0,43.77,17.9,56.0,1.5,826.51
ORD-1068,2023-03-10,West,Furniture,Cash,,47.89,15.8,23.0,3.8,645.17
ORD-1069,2023-03-11,,Electronics,UPI,31.0,61.08,7.8,34.0,2.6,1745.79
ORD-1070,2023-03-12,South,Sports,Cash,11.0,421.82,15.5,42.0,2.7,3920.82
ORD-1071,2023-03-13,South,Clothing,Credit Card,16.0,456.24,14.7,45.0,3.9,6226.76
ORD-1072,2023-03-14,North,Clothing,UPI,8.0,70.18,29.9,19.0,3.8,393.57
ORD-1073,2023-03-15,South,Clothing,UPI,4.0,125.59,26.9,52.0,5.0,367.23
ORD-1074,2023-03-16,North,Furniture,Credit Card,40.0,91.11,13.9,54.0,1.5,3137.83
ORD-1075,2023-03-17,South,Sports,UPI,4.0,101.3,18.7,22.0,1.4,329.43
ORD-1076,2023-03-18,West,Electronics,UPI,25.0,420.37,22.4,18.0,3.9,8155.18
ORD-1077,2023-03-19,West,Groceries,Cash,3.0,172.75,1.0,57.0,3.3,50000.0
ORD-1078,2023-03-20,East,Electronics,UPI,32.0,162.61,26.8,29.0,2.1,3808.98
ORD-1079,2023-03-21,West,Groceries,Net Banking,3.0,121.42,25.8,53.0,1.3,270.28
ORD-1080,2023-03-22,,Electronics,Credit Card,27.0,307.87,13.7,62.0,1.3,7173.68
ORD-1081,2023-03-23,West,Sports,Cash,29.0,195.86,11.7,40.0,4.6,5015.39
ORD-1082,2023-03-24,North,Groceries,Cash,32.0,374.68,8.2,64.0,1.8,11006.6
ORD-1083,2023-03-25,West,Furniture,Net Banking,,110.73,14.3,48.0,2.3,1803.02
ORD-1084,2023-03-26,East,Electronics,Credit Card,21.0,396.02,1.3,28.0,1.9,8208.31
ORD-1085,2023-03-27,East,Electronics,Credit Card,,,25.6,27.0,2.4,1137.65
ORD-1086,2023-03-28,South,Groceries,Cash,18.0,65.99,1.1,20.0,1.3,1174.75
ORD-1087,2023-03-29,North,Furniture,UPI,28.0,213.11,9.9,31.0,3.1,5376.34
ORD-1088,2023-03-30,West,Furniture,Cash,42.0,433.12,27.9,33.0,1.3,13115.74
ORD-1089,2023-03-31,,Sports,Credit Card,22.0,462.25,22.1,27.0,4.2,7922.04
ORD-1090,not-a-date,West,Furniture,Net Banking,21.0,238.19,8.4,46.0,1.9,4581.82
ORD-1091,2023-04-02,West,Furniture,Cash,6.0,245.61,7.6,27.0,3.2,1361.66
ORD-1092,2023-04-03,South,Furniture,Credit Card,1.0,460.04,0.2,29.0,4.5,459.12
ORD-1093,2023-04-04,South,Clothing,Cash,5.0,297.66,20.9,47.0,3.6,1177.25
ORD-1094,2023-04-05,South,Sports,UPI,41.0,,1.5,58.0,3.1,1053.64
ORD-1095,2023-04-06,South,Electronics,Cash,12.0,457.25,16.0,18.0,2.3,4609.08
ORD-1096,2023-04-07,South,Groceries,Cash,26.0,131.63,28.9,22.0,2.3,2433.31
ORD-1097,2023-04-08,West,Electronics,Credit Card,46.0,293.04,3.3,37.0,3.7,13035.01
ORD-1098,2023-04-09,South,Sports,Credit Card,34.0,91.1,26.8,,5.0,2267.3
ORD-1099,2023-04-10,,Groceries,Credit Card,49.0,26.6,29.7,60.0,,916.29
ORD-1100,2023-04-11,East,Sports,Cash,14.0,162.62,1.8,29.0,,2235.7
ORD-1101,2023-04-12,South,Furniture,UPI,26.0,392.44,26.5,18.0,3.9,7499.53
ORD-1102,2023-04-13,South,Groceries,Net Banking,45.0,146.02,15.5,37.0,2.9,5552.41
ORD-1103,2023-04-14,West,Furniture,Net Banking,,117.85,27.2,45.0,1.2,2316.46
ORD-1104,2023-04-15,South,Electronics,Credit Card,9.0,114.21,17.1,60.0,3.2,852.12
ORD-1105,2023-04-16,South,Electronics,Credit Card,26.0,262.44,19.9,54.0,4.8,5465.58
ORD-1106,2023-04-17,South,Groceries,Cash,47.0,,16.3,64.0,1.7,19198.22
ORD-1107,2023-04-18,West,Groceries,Net Banking,22.0,234.9,25.9,54.0,3.8,3829.34
ORD-1108,2023-04-19,South,Sports,Credit Card,47.0,283.08,22.0,29.0,1.8,10377.71
ORD-1109,2023-04-20,East,Sports,UPI,30.0,431.71,15.6,54.0,3.1,10930.9
ORD-1110,2023-04-21,West,Furniture,UPI,43.0,272.18,26.0,,1.4,8660.77
ORD-1111,2023-04-22,East,Groceries,Credit Card,48.0,100.39,7.4,66.0,,4462.13
ORD-1112,2023-04-23,West,Electronics,Credit Card,17.0,156.8,4.7,61.0,4.0,2540.32
ORD-1113,2023-04-24,South,Sports,Net Banking,26.0,,4.8,45.0,2.4,4006.61
ORD-1114,2023-04-25,East,Sports,Net Banking,36.0,204.69,10.0,64.0,3.7,6631.96
ORD-1115,2023-04-26,West,Electronics,Cash,1.0,219.13,7.2,,4.2,203.35
ORD-1116,2023-04-27,North,Sports,Net Banking,8.0,401.89,27.9,23.0,4.7,2318.1
ORD-1117,2023-04-28,South,Furniture,UPI,49.0,181.2,3.2,61.0,1.9,8594.68
ORD-1118,2023-04-29,West,Groceries,UPI,35.0,239.43,21.0,37.0,2.6,6620.24
ORD-1119,2023-04-30,North,Electronics,Credit Card,15.0,316.24,5.7,67.0,,4473.21
ORD-1120,2023-05-01,West,Groceries,Net Banking,47.0,195.09,26.4,31.0,5.0,6748.55
ORD-1121,2023-05-02,North,Sports,Cash,22.0,419.92,28.8,19.0,4.7,50000.0
ORD-1122,not-a-date,South,Sports,UPI,,297.85,14.0,26.0,3.2,3586.11
ORD-1123,2023-05-04,East,Electronics,UPI,26.0,,26.4,54.0,4.4,2948.47
ORD-1124,2023-05-05,North,Furniture,Cash,28.0,359.89,0.2,37.0,3.1,10056.77
ORD-1125,2023-05-06,West,Clothing,Cash,23.0,268.55,24.6,43.0,3.5,4657.19
ORD-1126,2023-05-07,South,Electronics,UPI,14.0,271.88,6.9,46.0,1.4,3543.68
ORD-1127,2023-05-08,North,Clothing,UPI,24.0,245.73,27.3,18.0,4.0,4287.5
ORD-1128,2023-05-09,West,Clothing,Cash,2.0,253.54,0.0,52.0,1.5,507.08
ORD-1129,2023-05-10,West,Furniture,UPI,45.0,385.02,16.7,23.0,4.3,14432.47
ORD-1130,2023-05-11,West,Clothing,Credit Card,26.0,60.46,22.7,54.0,4.1,1215.13
ORD-1131,2023-05-12,North,Clothing,Credit Card,14.0,173.84,7.8,22.0,3.8,2243.93
ORD-1132,2023-05-13,North,Furniture,Cash,7.0,47.0,5.8,50.0,1.1,309.92
ORD-1133,2023-05-14,North,Clothing,Net Banking,3.0,379.09,2.5,66.0,2.2,1108.84
ORD-1134,2023-05-15,East,Clothing,Cash,47.0,143.43,9.8,68.0,2.1,6080.57
ORD-1135,2023-05-16,North,Clothing,Cash,23.0,449.74,16.8,31.0,2.4,8606.22
ORD-1136,2023-05-17,North,Electronics,Net Banking,46.0,268.02,3.5,29.0,1.4,11897.41
ORD-1137,2023-05-18,North,Electronics,Net Banking,43.0,402.37,11.3,59.0,4.7,15346.79
ORD-1138,2023-05-19,East,Electronics,Net Banking,47.0,489.68,0.3,37.0,3.2,22945.92
ORD-1139,2023-05-20,North,Furniture,Credit Card,45.0,421.5,24.6,67.0,,14301.5
ORD-1140,2023-05-21,West,Sports,UPI,18.0,434.83,3.9,41.0,,7521.69
ORD-1141,2023-05-22,North,Clothing,Credit Card,38.0,209.91,8.5,60.0,2.8,7298.57
ORD-1142,2023-05-23,West,Clothing,UPI,35.0,280.34,0.6,51.0,3.4,9753.03
ORD-1143,2023-05-24,,Furniture,Credit Card,15.0,134.41,13.0,42.0,3.1,1754.05
ORD-1144,2023-05-25,West,Clothing,UPI,25.0,106.1,25.2,,4.7,100000.0
ORD-1145,2023-05-26,East,Electronics,Credit Card,37.0,257.7,11.8,46.0,3.0,8409.78
ORD-1146,2023-05-27,,Sports,Net Banking,28.0,301.57,5.4,56.0,5.0,7987.99
ORD-1147,2023-05-28,East,Groceries,Cash,10.0,176.24,22.6,48.0,4.4,1364.1
ORD-1148,2023-05-29,North,Clothing,Credit Card,39.0,289.03,23.7,64.0,1.8,8600.67
ORD-1149,2023-05-30,West,Electronics,UPI,17.0,444.86,5.2,60.0,4.7,7169.36
ORD-1150,2023-05-31,East,Groceries,Net Banking,39.0,282.79,23.1,67.0,1.5,8481.15
ORD-1151,2023-06-01,East,Sports,Credit Card,,363.2,28.4,40.0,4.3,5721.13
ORD-1152,2023-06-02,North,Groceries,Credit Card,,404.6,5.0,61.0,2.5,9993.62
ORD-1153,2023-06-03,East,Electronics,Net Banking,44.0,494.48,23.1,55.0,4.5,16731.23
ORD-1154,2023-06-04,North,Groceries,Credit Card,25.0,305.57,21.3,37.0,4.5,6012.09
ORD-1155,2023-06-05,South,Furniture,Cash,17.0,405.36,14.2,40.0,4.2,5912.58
ORD-1156,2023-06-06,East,Groceries,Credit Card,13.0,481.7,1.7,62.0,4.2,6155.64
ORD-1157,2023-06-07,South,Clothing,Cash,20.0,472.76,2.2,69.0,2.2,9247.19
ORD-1158,2023-06-08,North,Clothing,Cash,25.0,79.13,25.6,33.0,1.3,1471.82
ORD-1159,2023-06-09,West,Furniture,Net Banking,4.0,209.13,29.7,67.0,2.6,588.07
ORD-1160,2023-06-10,East,Electronics,Credit Card,10.0,168.76,20.3,59.0,1.7,1345.02
ORD-1161,2023-06-11,North,Clothing,Net Banking,3.0,52.59,13.4,25.0,3.8,136.63
ORD-1162,2023-06-12,West,Sports,Credit Card,41.0,320.29,19.4,67.0,2.4,10584.3
ORD-1163,2023-06-13,West,Clothing,Credit Card,45.0,370.59,17.8,38.0,4.9,13708.12
ORD-1164,2023-06-14,South,Clothing,UPI,18.0,425.58,11.5,18.0,3.6,6779.49
ORD-1165,2023-06-15,North,Electronics,Credit Card,47.0,,2.0,25.0,4.3,3231.57
ORD-1166,2023-06-16,West,Groceries,Net Banking,36.0,439.46,24.6,46.0,1.5,75000.0
ORD-1167,2023-06-17,East,Clothing,Cash,47.0,325.03,11.2,49.0,4.4,100000.0
ORD-1168,2023-06-18,East,Furniture,Credit Card,22.0,354.93,24.6,55.0,4.7,5887.58
ORD-1169,2023-06-19,South,Groceries,UPI,34.0,456.21,7.6,22.0,2.9,14332.29
ORD-1170,2023-06-20,West,Sports,Net Banking,47.0,316.13,0.0,64.0,3.4,14858.11
ORD-1171,2023-06-21,North,Electronics,Credit Card,8.0,174.57,4.8,39.0,4.1,1329.53
ORD-1172,2023-06-22,East,Sports,Net Banking,40.0,414.3,14.1,64.0,1.7,14235.35
ORD-1173,2023-06-23,West,Groceries,UPI,49.0,187.9,28.3,51.0,3.0,6601.49
ORD-1174,2023-06-24,West,Groceries,UPI,44.0,26.77,3.1,18.0,2.6,1141.37
ORD-1175,2023-06-25,South,Groceries,Net Banking,19.0,417.02,25.6,43.0,1.6,5894.99
ORD-1176,2023-06-26,East,Sports,Credit Card,42.0,,15.8,60.0,2.5,6335.11
ORD-1177,2023-06-27,East,Groceries,Cash,41.0,,24.8,27.0,1.3,11999.2
ORD-1178,2023-06-28,North,Sports,UPI,37.0,187.75,9.0,47.0,1.1,6321.54
ORD-1179,2023-06-29,East,Groceries,Credit Card,6.0,,25.2,67.0,1.5,1938.46
ORD-1180,2023-06-30,North,Furniture,Credit Card,,117.56,23.2,35.0,4.9,2347.44
ORD-1181,2023-07-01,East,Groceries,Cash,34.0,487.53,6.9,34.0,,15432.27
ORD-1182,2023-07-02,South,Sports,UPI,45.0,392.08,3.9,43.0,4.9,16955.5
ORD-1183,2023-07-03,East,Clothing,UPI,6.0,65.98,26.0,,2.7,292.95
ORD-1184,2023-07-04,North,Groceries,Credit Card,37.0,287.23,28.9,64.0,,7556.16
ORD-1185,2023-07-05,North,Clothing,Credit Card,33.0,492.83,0.9,57.0,3.0,16117.02
ORD-1186,2023-07-06,South,Furniture,Cash,22.0,240.82,21.9,,2.8,4137.77
ORD-1187,2023-07-07,East,Electronics,Cash,21.0,99.23,27.3,29.0,,1514.94
ORD-1188,2023-07-08,East,Furniture,UPI,6.0,247.54,25.7,,3.6,1103.53
ORD-1189,2023-07-09,South,Groceries,Net Banking,6.0,261.1,28.9,25.0,1.9,1113.85
ORD-1190,2023-07-10,East,Clothing,UPI,48.0,373.43,22.8,42.0,3.5,13837.82
ORD-1191,2023-07-11,East,Clothing,Credit Card,4.0,352.43,13.3,63.0,3.6,1222.23
ORD-1192,2023-07-12,North,Sports,UPI,,207.25,9.4,21.0,1.6,5633.06
ORD-1193,2023-07-13,East,Clothing,Net Banking,11.0,116.83,9.6,,,1161.76
ORD-1194,2023-07-14,East,Sports,Cash,30.0,326.08,21.7,18.0,4.1,7659.62
ORD-1195,2023-07-15,South,Electronics,Net Banking,31.0,216.63,22.4,36.0,2.8,5211.25
ORD-1196,2023-07-16,South,Groceries,Net Banking,24.0,74.82,6.0,48.0,1.2,1687.94
ORD-1197,2023-07-17,West,Sports,Net Banking,9.0,451.28,26.0,33.0,5.0,3005.52
ORD-1198,2023-07-18,North,Electronics,Cash,3.0,348.7,21.4,31.0,1.2,822.23
ORD-1199,2023-07-19,,Clothing,Net Banking,31.0,344.76,16.9,65.0,3.8,8881.36
ORD-1200,2023-07-20,East,Clothing,Net Banking,,413.07,14.1,22.0,4.9,14193.09
ORD-1201,2023-07-21,West,Electronics,Net Banking,37.0,269.53,16.3,58.0,2.0,8347.07
ORD-1202,2023-07-22,East,Clothing,Credit Card,36.0,409.38,4.8,43.0,1.6,14030.27
ORD-1203,2023-07-23,North,Electronics,Net Banking,24.0,254.06,6.1,45.0,1.5,5725.5
ORD-1204,2023-07-24,West,Sports,Cash,31.0,42.92,2.7,19.0,2.2,1294.6
ORD-1205,2023-07-25,,Sports,Net Banking,,208.57,4.6,67.0,1.4,1193.85
ORD-1206,2023-07-26,West,Electronics,Net Banking,2.0,253.76,13.6,23.0,3.8,438.5
ORD-1207,2023-07-27,West,Sports,Cash,20.0,362.9,15.9,26.0,1.2,6103.98
ORD-1208,2023-07-28,South,Sports,Net Banking,28.0,62.22,0.5,50.0,3.0,1733.45
ORD-1209,2023-07-29,North,Sports,Cash,11.0,,23.9,58.0,5.0,658.04
ORD-1210,2023-07-30,East,Furniture,Net Banking,4.0,139.21,8.8,42.0,4.3,507.84
ORD-1211,2023-07-31,East,Groceries,Cash,15.0,,27.4,65.0,3.5,1530.92
ORD-1212,2023-08-01,North,Clothing,Net Banking,6.0,368.77,29.0,30.0,2.2,1570.96
ORD-1213,2023-08-02,East,Furniture,Net Banking,49.0,,5.6,26.0,3.5,6145.57
ORD-1214,2023-08-03,East,Sports,Credit Card,30.0,320.22,13.9,,3.1,8271.28
ORD-1215,2023-08-04,,Electronics,Credit Card,38.0,252.19,0.0,48.0,2.7,9583.22
ORD-1216,2023-08-05,West,Sports,Net Banking,2.0,290.91,17.9,58.0,1.5,477.67
ORD-1217,2023-08-06,North,Groceries,Net Banking,15.0,420.67,18.2,28.0,4.5,5161.62
ORD-1218,2023-08-07,West,Sports,UPI,11.0,208.15,7.4,21.0,2.8,2120.22
ORD-1219,2023-08-08,East,Electronics,Cash,8.0,387.75,16.8,51.0,1.8,2580.86
ORD-1220,2023-08-09,East,Groceries,UPI,26.0,216.8,6.8,55.0,2.5,5253.5
ORD-1221,2023-08-10,East,Sports,Credit Card,45.0,183.4,4.8,63.0,,7856.86
ORD-1222,2023-08-11,South,Groceries,Credit Card,44.0,479.73,19.5,21.0,4.3,16992.04
ORD-1223,2023-08-12,West,Clothing,Credit Card,5.0,100.34,9.8,55.0,3.9,452.53
ORD-1224,2023-08-13,South,Clothing,Credit Card,6.0,54.27,17.7,36.0,4.1,267.99
ORD-1225,2023-08-14,South,Sports,Net Banking,26.0,387.78,13.0,23.0,1.0,8771.58
ORD-1226,2023-08-15,North,Groceries,Credit Card,4.0,43.44,29.5,,2.7,122.5
ORD-1227,2023-08-16,South,Electronics,Net Banking,19.0,420.17,4.5,35.0,2.9,7623.98
ORD-1228,2023-08-17,North,Sports,Net Banking,20.0,224.22,13.9,30.0,1.1,3861.07
ORD-1229,2023-08-18,North,Clothing,Credit Card,33.0,458.6,20.4,58.0,2.0,12046.5
ORD-1230,2023-08-19,South,Clothing,Credit Card,20.0,363.55,11.9,40.0,4.0,6405.75
ORD-1231,2023-08-20,West,Sports,Cash,49.0,,29.2,36.0,1.5,10723.3
ORD-1232,2023-08-21,West,Groceries,UPI,12.0,475.16,21.7,62.0,3.1,4464.6
ORD-1233,2023-08-22,West,Clothing,Credit Card,47.0,204.36,19.7,28.0,1.9,7712.75
ORD-1234,2023-08-23,West,Groceries,Cash,1.0,477.5,22.7,18.0,1.0,369.11
ORD-1235,2023-08-24,West,Clothing,Cash,26.0,76.15,28.6,,2.0,1413.65
ORD-1236,2023-08-25,South,Clothing,UPI,14.0,247.04,27.2,24.0,4.9,2517.83
ORD-1237,2023-08-26,South,Furniture,Net Banking,38.0,142.26,21.7,42.0,4.2,4232.8
ORD-1238,2023-08-27,East,Clothing,Credit Card,37.0,274.52,22.5,38.0,4.8,7871.86
ORD-1239,2023-08-28,West,Electronics,UPI,11.0,89.39,4.4,32.0,3.0,940.03
ORD-1240,2023-08-29,South,Sports,Credit Card,36.0,422.35,3.1,18.0,1.4,14733.26
ORD-1241,2023-08-30,East,Sports,Cash,13.0,424.74,17.1,29.0,3.2,4577.42
ORD-1242,2023-08-31,West,Groceries,Cash,43.0,,0.6,24.0,2.8,20433.67
ORD-1243,2023-09-01,North,Clothing,Net Banking,3.0,85.79,14.5,32.0,4.4,220.05
ORD-1244,2023-09-02,East,Electronics,Cash,33.0,315.43,6.3,38.0,1.4,9753.41
ORD-1245,2023-09-03,,Groceries,Cash,6.0,242.38,10.4,36.0,3.0,1303.03
ORD-1246,2023-09-04,North,Furniture,UPI,,178.75,23.3,46.0,1.6,1371.01
ORD-1247,2023-09-05,North,Groceries,Credit Card,5.0,,28.2,42.0,2.3,654.28
ORD-1248,2023-09-06,North,Groceries,Credit Card,23.0,212.27,2.2,50.0,3.9,4774.8
ORD-1249,2023-09-07,East,Clothing,UPI,10.0,355.41,16.0,66.0,2.9,2985.44
ORD-1250,2023-09-08,South,Furniture,Net Banking,44.0,303.16,26.5,49.0,2.5,9804.19
ORD-1251,2023-09-09,North,Groceries,Credit Card,2.0,235.24,2.5,66.0,2.6,458.72
ORD-1252,2023-09-10,West,Electronics,Cash,13.0,47.21,24.7,52.0,2.8,462.14
ORD-1253,2023-09-11,,Electronics,Credit Card,40.0,48.11,10.7,61.0,4.1,1718.49
ORD-1254,2023-09-12,North,Sports,Cash,2.0,11.15,9.7,55.0,4.6,20.14
ORD-1255,2023-09-13,East,Furniture,Net Banking,20.0,484.17,29.3,43.0,4.8,6846.16
ORD-1256,2023-09-14,East,Furniture,UPI,1.0,12.57,6.0,28.0,4.1,11.82
ORD-1257,2023-09-15,South,Sports,Credit Card,37.0,60.52,20.8,52.0,,1773.48
ORD-1258,2023-09-16,West,Groceries,UPI,9.0,164.15,24.6,25.0,3.8,1113.92
ORD-1259,2023-09-17,East,Furniture,Credit Card,17.0,405.64,1.2,,,6813.13
ORD-1260,2023-09-18,North,Electronics,Cash,9.0,481.43,20.1,31.0,2.0,3461.96
ORD-1261,2023-09-19,South,Electronics,UPI,11.0,397.11,28.5,27.0,4.4,3123.27
ORD-1262,2023-09-20,North,Clothing,Credit Card,,348.37,3.7,19.0,1.2,5032.2
ORD-1263,2023-09-21,North,Furniture,Cash,24.0,265.44,26.9,63.0,4.6,4656.88
ORD-1264,2023-09-22,East,Groceries,UPI,38.0,52.49,17.8,,2.8,1639.58
ORD-1265,2023-09-23,South,Sports,UPI,35.0,479.5,18.5,20.0,3.5,50000.0
ORD-1266,2023-09-24,West,Sports,Credit Card,30.0,381.61,18.4,38.0,3.6,9341.81
ORD-1267,2023-09-25,West,Groceries,Credit Card,31.0,323.09,9.0,,4.6,9114.37
ORD-1268,2023-09-26,East,Clothing,Credit Card,49.0,381.93,28.1,25.0,,13455.78
ORD-1269,2023-09-27,East,Sports,Cash,5.0,364.81,28.4,65.0,3.5,1306.02
ORD-1270,2023-09-28,South,Furniture,Credit Card,44.0,322.24,18.8,19.0,1.3,11512.99
ORD-1271,2023-09-29,West,Clothing,UPI,14.0,490.48,23.5,23.0,3.1,5253.04
ORD-1272,2023-09-30,West,Furniture,UPI,11.0,452.65,18.4,45.0,1.6,4062.99
ORD-1273,2023-10-01,West,Electronics,Credit Card,9.0,326.87,14.5,46.0,3.9,2515.26
ORD-1274,2023-10-02,North,Clothing,Credit Card,34.0,349.66,19.8,,3.0,9534.53
ORD-1275,2023-10-03,West,Sports,Net Banking,12.0,35.28,16.6,42.0,3.7,353.08
ORD-1276,2023-10-04,North,Clothing,UPI,35.0,338.26,17.9,29.0,1.2,9719.9
